Filename,ACAd,ACAv,ACB,AD,ADP,AHA,AId,AIp,AIv,AM,APN,ARH,ASO,ATN,AUDpo,AV,BLA,BMA,CL,CLA,CM,CN,COA,CUN,DMH,DN,DP,ECT,ENT,ENTl,ENTm,EP,FC,FRP,FS,GENd,GENv,GPe,GPi,HPF,HY,I5,IAD,IAM,IF,III,ILA,ILM,IMD,IPR,IV,IntG,LA,LD,LDT,LGd,LGd-co,LGd-ip,LGd-sh,LGv,LHA,LP,LS,LSc,LSr,LSv,MA,MBmot,MD,MEA,MEPO,MG,MOs,MPN,MPO,MTN,NDB,NLOT,NOT,NTS,OP,ORB,PAA,PAR,PARN,PB,PCN,PERI,PF,PH,PIR,PL,PO,POL,POST,PP,PPT,PRC,PRE,PS,PT,PTLp,PVH,PVT,PeF,ProS,RE,RH,RN,RPA,RPF,RSP,RSPagl,RSPd,RSPv,SCH,SFO,SGN,SH,SI,SO,SOC,SPA,SPF,SPFm,SPFp,SSp,SSp-ll,SSp-tr,SUB,SubG,TEa,TH,TR,TRN,TT,TU,VAL,VI,VISC,VISal,VISam,VISl,VISli,VISp,VISpl,VISpm,VISpor,VISrl,VM,VMH,VP,VPL,VPLpc,VPM,VPMpc,VTA,VTN,XII,Xi,ZI,sAMY
0377GFP-S1-9_0001.nd2_(RGB).png,41.17853084780286,0.3,0.3,0.3,0.3,0,229.19435857870064,0.3,221.4039153915392,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,91.4235778212854,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,412.1820422535212,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,177.38805076333156,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,177.47464919778,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0377GFP-S1-4_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,0,126.19189721828532,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,526.6448342359425,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,45.8617889106427,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,238.7580244625649,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,159.6792456869984,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0377GFP-S4-01_0001.nd2_(RGB).png,95.68323864487334,0.3,0.3,0.3,0.3,0,149.0813330761554,0.3,172.26971197119713,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,88.02413903932377,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,97.93240480852008,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,339.9220348406227,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,212.80566091599783,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,354.64929839556,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0377GFP-S5-06_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,22.743365429682683,86.43008583329826,0.3,0.3,0.3,0.3,52.54666567765585,0.3,0.3,0.3,0.3,398.8987586710478,33.94102799373869,60.47324707519253,0.3,61.44463971683636,0.3,0.3,0.3,30.291813636613377,0.3,0.3,0.3,14.3,247.2658651344809,0.3,0.3,0.3,0.3,0.3,0.3,26.85347362071817,0.3,0.3,0.3,0.3,51.14584575260805,0.3,0.3,59.34480162679012,102.094092417857,0.3,205.8429625724829,0.3,226.77246737572605,35.722436504743484,0.3,0.3,0.3,0.3,0.3,18.323501694519795,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,107.70051154249737,0.3,0.3,0.3,0.3,108.25629387916544,87.40403701930748,120.93401913769864,62.98543586750643,0.3,0.3,0.3,0.3,0.3,0.3,1244.5582968636031,0.3,0.3,0.3,347.87093011409945,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,93.70837838119344,18.406346563356177,78.94813854310742,147.36268499094805,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,837.1557412233634,2454.249202067881,0.3,16.089360523264336,0.3,0.3,61.12058843191288,0.3,151.3226558216508,17.12595213730011,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,593.6371870121143,0.3,0.3,12.359297845642685,0.3,0.3,0.3,587.9458285274894,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,402.91950626925245,0.3
0377GFP-S2-07_0001.nd2_(RGB).png,0.3,0.3,0.3,532.9707650273224,0.3,0,0.3,175.43137716635977,0.3,1661.4693103579443,0.3,0.3,0.3,1422.8632858704384,0.3,0.3,247.1770197265095,115.1401144443977,0.3,0.3,0.3,0.3,117.85499777472567,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,413.0263180886455,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,17.13858171371461,0.3,0.3,0.3,0.3,0.3,0.3,26.85347362071817,0.3,0.3,0.3,0.3,51.14584575260805,2057.313473399265,0.3,0.3,0.3,0.3,0.3,0.3,41.476812250132,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,42.36462102764848,0.3,0.3,0.3,0.3,0.3,0.3,0.3,803.2629811228242,0.3,0.3,0.3,0.3,286.70136411332635,0.3,0.3,0.3,0.3,0.3,0.3,0.3,184.6689290220777,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,452.3379264657171,0.3,199.1202942890443,0.3,0.3,468.5458397666839,0.3,0.3,0.3,36.85110458394525,90.83173281678089,34.00634508990318,10.104178999396536,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,54.68557513568826,54.68325640088998,61.192277488371055,0.3,0.3,0.3,172.76600940732612,0.3,0.3,0.3,0.3,208.99403983637268,0.3,398.96756518101967,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,276.46705172093965,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,23.98350036877956,95.12185662836166
0377GFP-S5-05_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,67.14311708667009,0.3,0.3,0.3,0.3,0.3,45.18673085936536,57.72005722219885,0.3,0.3,0.3,0.3,157.03999703296756,0.3,0.3,0.3,0.3,274.3366465863453,18.989459996521497,33.72958170844029,0.3,122.58927943367271,0.3,0.3,0.3,30.291813636613377,0.3,0.3,0.3,17.3,348.29735541676865,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,101.9916915052161,0.3,0.3,59.34480162679012,102.094092417857,0.3,0.3,0.3,309.12609187599,0.3,0.3,0.3,0.3,0.3,0.3,58.37572768234155,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,143.50068205666318,0.3,0.3,0.3,0.3,108.25629387916544,0.3,603.4700956884931,48.23592154574021,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,365.24947661980445,0.3,0.3,0.3,33.110475194441435,0.3,0.3,0.3,0.3,683.8474580515903,65.27974148256935,18.406346563356177,56.4772418165053,108.14596899336188,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,627.9418059175225,0.3,952.750273351169,7.31749356589526,0.3,0.3,101.66764738652148,0.3,137.593323474228,8.712976068650056,0.3,0.3,0.3,0.3,0.3,0.3,0.3,56.651914937545165,485.7576984644572,0.3,0.3,54.56684030539208,0.3,122.76989934040294,0.3,881.7687427912341,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,450.2865070068116,0.3
0377GFP-S2-04_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,0,0.3,333.04961661608354,0.3,0.3,0.3,0.3,0.3,1383.347639040704,0.3,0.3,314.5071160155576,488.3704863886902,0.3,0.3,2561.518329684079,0.3,183.1633298717955,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,413.0263180886455,0.3,0.3,0.3,0.3,0.3,0.3,101.0160516605166,0.3,39.59002399866742,0.3,0.3,0.3,0.3,0.3,0.3,637.583366897236,0.3,0.3,0.3,0.3,152.83753725782415,2938.890676284664,0.3,0.3,0.3,0.3,0.3,0.3,62.06521837519801,0.3,0.3,0.3,0.3,0.3,0.3,0.3,31.246336651624755,315.7846577073637,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,215.10102308499475,0.3,0.3,0.3,1073.6012190326387,0.3,0.3,0.3,232.604850567818,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,2809.775038600103,0.3,0.3,0.3,53.09603995458759,54.619039690068526,90.18358690640848,29.71253699818961,0.3,0.3,0.3,0.3,14.38492532846188,0.3,0.3,0.3,0.3,0.3,0.3,121.35176401169323,18.42775213363,487.43821990696847,0.3,0.3,0.3,261.1022581281517,0.3,0.3,0.3,0.3,730.7291394273043,0.3,362.7250592554724,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,598.6619453953692,0.3,15.345089987046276,48.94295770882714,0.3,0.3,0.3,0.3,0.3,0.3,0.3,23.98350036877956,211.01523695191483
0377GFP-S4-02_0001.nd2_(RGB).png,82.05706169560573,0.3,0.3,0.3,0.3,0,149.0813330761554,0.3,319.6723222322232,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,340.24333042720144,0.3,0.3,0.3,0.3,199.02007907971824,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,101.45838630172524,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,78.40592384681607,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,43.656004447739065,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,70.36019302838955,18.008805076333157,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,118.41643279852,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0377GFP-S3-03_0001.nd2_(RGB).png,122.9355925434086,71.0819479652237,0.3,0.3,0.3,0,0.3,210.4576525996317,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,619.1600742567242,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,260.1647187965545,0.3,0.3,296.6201606774509,0.3,0.3,0.3,0.3,0.3,19.945011999333712,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,14.276378355958157,0.3,0.3,70.48991410790515,117.2761710881584,0.3,0.3,0.3,0.3,0.3,75.15151035319873,421.89484090206986,153.4437789311264,0.3,173.4855964467005,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,110.92135741324664,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,70.72462664230939,0.3,0.3,0.3,0.3,0.3,0.3,247.66664819780792,127.19426493540996,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,72.78501185109448,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0377GFP-S1-10_0001.nd2_(RGB).png,27.55235389853524,0.3,0.3,0.3,0.3,0,171.97076893402547,0.3,74.00130513051305,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,44.16206951966189,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,88.16916432766807,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,643.4140659747961,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,159.6792456869984,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
