Filename,SSp-ll,SSp-tr,VISC,AUDpo,VISal,VISam,VISl,VISp,VISpl,VISpm,VISli,VISpor,ACAd,ACAv,PL,ILA,ORB,VISrl,TEa,AId,AIp,AIv,RSPagl,RSPd,RSPv,PTLp,PERI,ECT,TT,DP,PIR,NLOT,COA,PAA,TR,HPF,FC,ENTl,ENTm,PAR,POST,PRE,SUB,ProS,CLA,EP,LA,BMA,ACB,FS,LSc,LSr,LSv,SH,sAMY,MEA,GPe,GPi,SI,MA,NDB,SPF,PP,MG,SGN,AM,AD,MD,PT,RE,RH,PCN,SubG,SO,ASO,PVH,ARH,ADP,AHA,MEPO,PS,SCH,VMH,TU,ZI,VTA,RN,SOC,TRN,LDT,CN,PARN,RPA,DN,PVT,BLA,DMH,ENT,FRP,HY,LHA,LS,MPO,MPN,MBmot,NTS,PB,PeF,PH,SSp,RSP,MOs,SFO,TH,VAL,VP,LGd,LP,PO,POL,VM,VPL,VPM,IAM,LD,IMD,MTN,CL,PF,Xi,ILM,CM,GENd,GENv,VPLpc,VPMpc,LGd-sh,LGd-co,LGd-ip,LGv,IntG,SPFm,SPFp,SPA,ATN,APN,NOT,OP,PPT,RPF,CUN,III,IV,VI,XII,I5,IF,IPR,PRC,VTN
0377GFP-S1-9_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,88.84402538166577,0.3,159.2720163083766,0.3,0.3,68.96830757361019,0.3,147.7026102610261,0.3,0.3,0.3,0.3,0.3,0.3,59.35821639926,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,23.080894455321356,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0377GFP-S1-4_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,71.13522030533262,0.3,79.7860081541883,0.3,0.3,34.63415378680509,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,175.74827807864756,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,16.572067468086683,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0377GFP-S4-01_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,41.17853084780286,0.3,88.84402538166577,0.3,137.59401408450705,0.3,0.3,57.52358964467516,0.3,98.56840684068406,0.3,0.3,0.3,0.3,0.3,0.3,59.35821639926,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,44.16206951966189,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,26.33530794893869,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0377GFP-S5-06_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,162.11923282148575,0.3,6.329648922821342,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,252.14821222606693,68.946661737114,0.3,0.3,0.3,0.3,0.3,19.90835799879307,174.08546505704973,54.27814693958271,149.77453450164293,0.3,0.3,33.48640722397399,0.3,26.42333283882793,36.10017051416579,0.3,5.3,0.3,20.35774902506418,0.3,0.3,0.3,0.3,40.847058954608585,0.3,0.3,15.586159929209092,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,95.03400147511825,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,11.513675997912898,0.3,76.07361771171574,41.476812250132,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,5.563120174421445,8.42246768532117,0.3,0.3,4.506488034325027,0.3,0.3,59.34480162679012,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,30.291813636613377,0.3,0.3,0.3,205.8429625724829,102.094092417857,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0377GFP-S2-07_0001.nd2_(RGB).png,0.3,0.3,90.90626481386808,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,70.3525508665439,0.3,36.51269312671235,11.53544836330106,0.3,0.3,0.3,0.3,0.3,0.3,55.61067870662332,401.7814905614121,26.42333283882793,107.70051154249737,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,122.58927943367271,51.14584575260805,86.43008583329826,0.3,0.3,0.3,0.3,0.3,0.3,52.9788092379787,21.332310513824243,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,311.76924569211457,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,90.07346171873073,0.3,0.3,0.3,3.1064302856191017,0.3,0.3,0.3,0.3,0.3,0.3,0.3,199.1202942890443,0.3,9.071866957369076,12.483701527981752,0.3,0.3,48.67461239473781,0.3,0.3,0.3,0.3,0.3,0.3,138.38352586046983,0.3,0.3,995.7066374908826,755.9376024731993,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,415.21429171221126,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0377GFP-S5-05_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,0.3,0.3,18.388946768464027,0.3,41.12329978013431,0.3,0.3,0.3,0.3,0.3,0.3,0.3,168.19880815071127,27.7586646948456,0.3,0.3,0.3,0.3,0.3,0.3,69.81418602281988,0.3,124.86211208470245,0.3,0.3,22.42427148264933,0.3,39.484999258241885,36.10017051416579,0.3,8.3,0.3,27.04366536675224,0.3,0.3,0.3,0.3,20.57352947730429,0.3,0.3,30.872319858418184,0.3,57.72005722219885,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,284.5020044253547,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,22.743365429682683,0.3,15.251567997217196,0.3,106.94435085352586,82.653624500264,0.3,0.3,0.3,18.323501694519795,0.3,0.3,0.3,120.93401913769864,3.80874678294763,0.3,0.3,0.3,2.4032440171625136,0.3,0.3,59.34480162679012,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,30.291813636613377,0.3,0.3,0.3,205.8429625724829,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,33.72155854333504,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,249.15165937272067,0.3
0377GFP-S2-04_0001.nd2_(RGB).png,18.427752133629998,91.63841623255658,163.3912766649626,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,157.9182394497238,0.3,0.3,22.77089672660212,0.3,0.3,0.3,0.3,0.3,0.3,88.79708593059732,0.3,52.54666567765585,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,153.16159929209093,101.9916915052161,115.1401144443977,0.3,0.3,0.3,0.3,0.3,0.3,84.58609478076592,147.52617359676972,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,31.246336651624755,0.3,0.3,1405.0375193000514,536.9506095163193,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,23.98350036877956,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,112.5168271484134,0.3,0.3,0.3,25.55787257057192,41.476812250132,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,30.12434765505485,8.42246768532117,0.3,0.3,103.35895684096316,365.5145697136522,0.3,0.3,0.3,0.3,0.3,368.5227356279196,0.3,0.3,0.3,1091.7765369057324,0.3,0.3,0.3,0.3,0.3,292.38820982789986,1195.5352205192366,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,514.0034087865472,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0377GFP-S4-02_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,18.008805076333157,0.3,21.97800222386953,0.3,0.3,57.52358964467516,0.3,123.13550855085508,0.3,0.3,0.3,0.3,0.3,0.3,29.82910819963,0.3,22.42427148264933,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,92.01695957525456,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,19.826480961704014,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0377GFP-S3-03_0001.nd2_(RGB).png,36.555504267259984,0.3,36.54250592554724,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,68.4308847463381,0.3,0.3,0.3,0.3,0.3,0.3,0.3,105.37882629981584,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,18.73689290220777,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,232.3725278462716,153.16159929209093,0.3,0.3,0.3,99.07338689248364,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,28.46985065692376,0.3,58.02853214890016,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,3.1064302856191017,0.3,0.3,0.3,105.69871022551746,0.3,0.3,0.3,0.3,0.3,70.4749356589526,0.3,32.84413493617336,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
0377GFP-S1-10_0001.nd2_(RGB).png,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,18.008805076333157,0.3,332.69603409933285,0.3,0.3,137.6366151472204,0.3,24.867101710171017,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,29.589721442556023,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
